Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,database,module,overlap.n
protein processing (GO:0016485),3/106,0.0412253697255301,0.198861610474807,0,0,4.08035529849205,13.0110348245742,CPXM2;CPE;AEBP1,GO_BP,pink,3
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066),3/106,0.0412253697255301,0.198861610474807,0,0,4.08035529849205,13.0110348245742,PDGFRA;PDGFD;FGF2,GO_BP,pink,3
protein localization to nucleus (GO:0034504),3/106,0.0412253697255301,0.198861610474807,0,0,4.08035529849205,13.0110348245742,BMP4;COL1A1;NXT2,GO_BP,pink,3
supramolecular fiber organization (GO:0097435),6/351,0.0417606089355898,0.198861610474807,0,0,2.4588531821046,7.80883024787547,COL1A1;MYO1D;COL15A1;COL3A1;LOX;LTBP2,GO_BP,pink,6
nervous system development (GO:0007399),7/447,0.0432034382988967,0.198861610474807,0,0,2.25467816854678,7.08382722705181,ACAN;NRG1;INHBA;PTN;FGF2;DCLK1;HAPLN1,GO_BP,pink,7
central nervous system development (GO:0007417),5/268,0.0447326010471229,0.198861610474807,0,0,2.67978772875236,8.32624173363759,SLC8A3;ACAN;AGTR2;DCLK1;HAPLN1,GO_BP,pink,5
positive regulation of cell migration (GO:0030335),5/269,0.0453266330772381,0.198861610474807,0,0,2.66950076302594,8.25906294570344,COL1A1;PDGFRA;SEMA3D;PDGFD;SEMA3A,GO_BP,pink,5
regulation of cytoskeleton organization (GO:0051493),3/112,0.0472335172490944,0.198861610474807,0,0,3.854577396057,11.766681574748,CAPN2;ABL1;CORO2B,GO_BP,pink,3
inorganic cation transmembrane transport (GO:0098662),5/274,0.0483676384101535,0.198861610474807,0,0,2.61921317964216,7.93339849064948,SLC8A3;SCARA5;SLC6A1;SLC9A1;SLC6A4,GO_BP,pink,5
cellular response to transforming growth factor beta stimulus (GO:0071560),3/114,0.0493270189263678,0.198861610474807,0,0,3.78474218899751,11.3893614520973,COL3A1;LTBP2;LEFTY2,GO_BP,pink,3
regulation of cell population proliferation (GO:0042127),10/764,0.0496702899379057,0.199537544060897,0,0,1.89061324676353,5.67627949119161,BMP4;PDGFRA;FRZB;PDGFD;NRG1;INHBA;PTN;FGF2;BMP6;RERG,GO_BP,pink,10
cellular amide metabolic process (GO:0043603),3/115,0.0503905894058029,0.20104464608822,0,0,3.75075987841945,11.2070861274025,CPXM2;CPE;AEBP1,GO_BP,pink,3
positive regulation of angiogenesis (GO:0045766),3/116,0.0514653091698146,0.20393566388719,0,0,3.71737902466579,11.0288959470957,SMOC2;PTGIS;FGF2,GO_BP,pink,3
ion transport (GO:0006811),3/116,0.0514653091698146,0.20393566388719,0,0,3.71737902466579,11.0288959470957,SLC8A3;ANO1;SLC9A1,GO_BP,pink,3
regulation of cellular response to stress (GO:0080135),3/118,0.0536479987705361,0.204524960729641,0,0,3.65235892691952,10.6842861545711,ABL1;VASH1;CORO2B,GO_BP,pink,3
negative regulation of cell population proliferation (GO:0008285),6/379,0.0566164469562854,0.205477136149759,0,0,2.27101060729689,6.52110647507572,BMP4;FAP;FRZB;INHBA;SLC16A2;RERG,GO_BP,pink,6
positive regulation of macromolecule metabolic process (GO:0010604),6/384,0.0595656564918393,0.214526060180147,0,0,2.24039567517828,6.31943054527675,BMP4;SLC2A10;TMEM119;INHBA;FGF2;BMP6,GO_BP,pink,6
cellular response to oxidative stress (GO:0034599),3/125,0.0616310590346347,0.214526060180147,0,0,3.44157656086502,9.59026052427371,PDGFRA;ABL1;ETV5,GO_BP,pink,3
synapse organization (GO:0050808),3/126,0.0628144037824247,0.214526060180147,0,0,3.413423283169,9.44689085303603,SLC8A3;PPFIBP2;SLC6A1,GO_BP,pink,3
protein phosphorylation (GO:0006468),7/496,0.0677397082495214,0.2177779782825,0,0,2.02362933440807,5.44777760031787,BMP4;PDGFRA;EFEMP1;ABL1;DCLK1;PRKAG3;GDF7,GO_BP,pink,7
negative regulation of multicellular organismal process (GO:0051241),4/214,0.0691501242770506,0.2177779782825,0,0,2.67292517006803,7.14065390112775,BMP4;ADAMTS5;LAMA4;SLC6A4,GO_BP,pink,4
positive regulation of protein modification process (GO:0031401),4/214,0.0691501242770506,0.2177779782825,0,0,2.67292517006803,7.14065390112775,BMP4;ABL1;TMEM119;FGF2,GO_BP,pink,4
regulation of cell motility (GO:2000145),3/133,0.0713899966737564,0.221066278324876,0,0,3.22847790507365,8.52188227825896,ABL1;NRG1;FGF2,GO_BP,pink,3
regulation of cell growth (GO:0001558),4/217,0.0719754949242435,0.221488083629018,0,0,2.63487592219987,6.93349040487169,FRZB;AGTR2;INHBA;RERG,GO_BP,pink,4
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),6/404,0.0722682384498657,0.221488083629018,0,0,2.12562814070352,5.58481277406152,COL1A1;PDGFRA;PDGFD;NRG1;FGF2;ANGPTL1,GO_BP,pink,6
positive regulation of apoptotic process (GO:0043065),5/310,0.0737573883379729,0.221488083629018,0,0,2.30581436490152,6.01119834698234,BMP4;PTGIS;FAP;FRZB;ABL1,GO_BP,pink,5
regulation of cell migration (GO:0030334),6/408,0.0749825563240007,0.221488083629018,0,0,2.10404499242916,5.45052807914928,COL1A1;PDGFRA;SEMA3D;PDGFD;SEMA3A;FGF2,GO_BP,pink,6
positive regulation of nucleic acid-templated transcription (GO:1903508),7/511,0.0766463135934808,0.221570608775199,0,0,1.96188158961882,5.03919835103201,COL1A1;BMP4;LBH;TASP1;INHBA;FGF2;GDF7,GO_BP,pink,7
enzyme linked receptor protein signaling pathway (GO:0007167),3/140,0.0804615931204272,0.225669769402534,0,0,3.06243205466687,7.71725317397549,PDGFRA;PTN;ANGPTL1,GO_BP,pink,3
cellular protein metabolic process (GO:0044267),6/417,0.0813006358971205,0.225669769402534,0,0,2.05701893578758,5.16229768510035,BMP4;LOX;GOLM1;ABL1;CPE;PRSS23,GO_BP,pink,6
nitrogen compound transport (GO:0071705),3/143,0.0844956993593704,0.225669769402534,0,0,2.99635258358663,7.40415095795259,TMEM30B;LRRC8D;SLC6A4,GO_BP,pink,3
"positive regulation of transcription, DNA-templated (GO:0045893)",13/1183,0.0847710540675336,0.225669769402534,0,0,1.58490245971162,3.91122409369293,ARF4;INHBA;MEOX2;FGF2;BMP6;ETV5;SLC9A1;GDF7;COL1A1;BMP4;LBH;ABL1;TASP1,GO_BP,pink,13
positive regulation of signal transduction (GO:0009967),4/252,0.109106153567889,0.239629882038014,0,0,2.25898617511521,5.00463474338162,SMOC2;PTGIS;ARMC9;BMP6,GO_BP,pink,4
positive regulation of protein kinase B signaling (GO:0051897),3/161,0.110420187073529,0.241803605151619,0,0,2.65257204416914,5.84484251839019,PDGFRA;NRG1;FGF2,GO_BP,pink,3
heart development (GO:0007507),3/164,0.115009213610293,0.243179214161902,0,0,2.60274877758689,5.62907679182444,BMP4;COL3A1;MICAL2,GO_BP,pink,3
regulation of MAPK cascade (GO:0043408),3/166,0.118108283761996,0.245501883220751,0,0,2.57055214723926,5.49109375112331,LBH;TRIM5;FGF2,GO_BP,pink,3
positive regulation of transcription by RNA polymerase II (GO:0045944),10/908,0.120070401310705,0.245501883220751,0,0,1.5754745204933,3.33949715344648,BMP4;ARF4;ABL1;MICAL2;INHBA;MEOX2;FGF2;BMP6;ETV5;SLC9A1,GO_BP,pink,10
regulation of protein phosphorylation (GO:0001932),4/266,0.12596327913754,0.247544312576206,0,0,2.13675027262814,4.42684410789342,BMP4;ABL1;TMEM119;FGF2,GO_BP,pink,4
positive regulation of ERK1 and ERK2 cascade (GO:0070374),3/172,0.127589441454073,0.247544312576206,0,0,2.47853455873096,5.10314814141092,PDGFRA;PDGFD;FGF2,GO_BP,pink,3
positive regulation of gene expression (GO:0010628),6/482,0.135315264014186,0.254672508201173,0,0,1.77018633540373,3.54063454172854,BMP4;SLC2A10;TMEM119;INHBA;FGF2;BMP6,GO_BP,pink,6
positive regulation of developmental process (GO:0051094),3/177,0.135692044078945,0.254815570210069,0,0,2.40670090486672,4.80706579080515,BMP4;TMEM119;PTN,GO_BP,pink,3
positive regulation of MAPK cascade (GO:0043410),4/274,0.136062709086047,0.254815570210069,0,0,2.07259259259259,4.13407485216739,PDGFRA;TRIM5;PDGFD;FGF2,GO_BP,pink,4
positive regulation of cellular biosynthetic process (GO:0031328),3/180,0.140637283250615,0.254815570210069,0,0,2.3655487438394,4.64019219887856,SMOC2;AGTR2;FGF2,GO_BP,pink,3
negative regulation of macromolecule metabolic process (GO:0010605),3/194,0.164477606931764,0.278504500893345,0,0,2.19059819538821,3.95398778421498,BMP4;SLC2A10;FGF2,GO_BP,pink,3
positive regulation of cellular process (GO:0048522),7/625,0.165156910495144,0.278504500893345,0,0,1.59055583114828,2.864367235676,BMP4;PDGFRA;PDGFD;NRG1;PTN;FGF2;BMP6,GO_BP,pink,7
regulation of cell cycle (GO:0051726),4/296,0.165429282934073,0.278504500893345,0,0,1.91428571428571,3.44420481195284,BMP4;FAP;ABL1;INHBA,GO_BP,pink,4
protein localization to membrane (GO:0072657),3/195,0.166225087448942,0.279440442825422,0,0,2.1790780141844,3.910164741285,EHD3;CPE;PTN,GO_BP,pink,3
regulation of signal transduction (GO:0009966),3/198,0.171500456913143,0.284207727316945,0,0,2.14522640480087,3.78239744181505,RGS4;SLC8A3;TRIM5,GO_BP,pink,3
MAPK cascade (GO:0000165),4/303,0.175220290611902,0.287212820502653,0,0,1.86880076445294,3.25491139617146,PDGFRA;PTPRA;NRG1;FGF2,GO_BP,pink,4
axon guidance (GO:0007411),3/203,0.180397952414586,0.289333133425001,0,0,2.09106382978723,3.58113504956819,PTPRA;SEMA3D;SEMA3A,GO_BP,pink,3
regulation of protein kinase B signaling (GO:0051896),3/207,0.187605220665862,0.293850728479331,0,0,2.04964539007092,3.42990818915897,PDGFRA;NRG1;FGF2,GO_BP,pink,3
positive regulation of intracellular signal transduction (GO:1902533),6/546,0.201301327589567,0.304171266720941,0,0,1.55523349436393,2.49296518657746,PDGFRA;TRIM5;PDGFD;TRAF5;NRG1;FGF2,GO_BP,pink,6
cellular protein localization (GO:0034613),4/329,0.213196120999692,0.314795286393716,0,0,1.71701098901099,2.65371393903447,ARF4;CPE;TBC1D2B;SEPTIN8,GO_BP,pink,4
intracellular protein transport (GO:0006886),4/336,0.223797639596631,0.322624147352939,0,0,1.6802065404475,2.5152910842955,ARF4;TBC1D2B;LTBP2;NXT2,GO_BP,pink,4
negative regulation of cellular process (GO:0048523),6/566,0.224036854256247,0.322624147352939,0,0,1.49813664596273,2.24112959447599,BMP4;FRZB;AGTR2;INHBA;FGF2;RERG,GO_BP,pink,6
cilium organization (GO:0044782),3/228,0.226551839370775,0.324093918212315,0,0,1.85635933806147,2.75628798181114,ARF4;EHD3;ARMC9,GO_BP,pink,3
regulation of autophagy (GO:0010506),3/231,0.232243536313582,0.327558982815161,0,0,1.83165360209033,2.67415698764481,TRIM5;ABL1;PRKAG3,GO_BP,pink,3
regulation of ERK1 and ERK2 cascade (GO:0070372),3/238,0.245623370538108,0.337671139309038,0,0,1.77645993662291,2.49407146300146,PDGFRA;PDGFD;FGF2,GO_BP,pink,3
axonogenesis (GO:0007409),3/240,0.249469275141197,0.340726184325248,0,0,1.76128916419786,2.44540825082957,PTPRA;SEMA3D;SEMA3A,GO_BP,pink,3
regulation of canonical Wnt signaling pathway (GO:0060828),3/253,0.274671278265573,0.36116482977358,0,0,1.66859574468085,2.15612646330673,COL1A1;FRZB;LGR5,GO_BP,pink,3
protein transport (GO:0015031),4/369,0.275405116154207,0.361721488522718,0,0,1.52571428571429,1.96742705650129,ARF4;TBC1D2B;LTBP2;SNX33,GO_BP,pink,4
negative regulation of programmed cell death (GO:0043069),4/381,0.294671773250348,0.376830533300391,0,0,1.47624100037893,1.80380880320663,COMP;BMP4;ARF4;TXNDC5,GO_BP,pink,4
plasma membrane bounded cell projection assembly (GO:0120031),3/278,0.323741121718035,0.396591384649328,0,0,1.51497098646035,1.70860107896613,ARF4;EHD3;ARMC9,GO_BP,pink,3
phosphorylation (GO:0016310),4/400,0.325508511483244,0.398337621720566,0,0,1.4040404040404,1.5758481510386,ABL1;DGKI;DCLK1;PRKAG3,GO_BP,pink,4
positive regulation of programmed cell death (GO:0043068),3/286,0.33949609984785,0.409010296093842,0,0,1.47154349297045,1.58969786974298,BMP4;FRZB;ABL1,GO_BP,pink,3
regulation of gene expression (GO:0010468),9/1079,0.37412613243733,0.442045582443702,0,0,1.17046728971963,1.15075929615325,BMP4;EFEMP1;TRIM5;SLC2A10;ABL1;TMEM119;INHBA;FGF2;BMP6,GO_BP,pink,9
cilium assembly (GO:0060271),3/314,0.394323731537338,0.460769455607822,0,0,1.33714168434015,1.24432139145332,ARF4;EHD3;ARMC9,GO_BP,pink,3
negative regulation of gene expression (GO:0010629),3/322,0.40980569954629,0.470221538562269,0,0,1.30307476822517,1.16243669076009,BMP4;SLC2A10;FGF2,GO_BP,pink,3
regulation of apoptotic process (GO:0042981),6/742,0.445200499317046,0.500635696625829,0,0,1.12948960302457,0.914017479148846,COMP;BMP4;ARF4;FRZB;ABL1;TXNDC5,GO_BP,pink,6
post-translational protein modification (GO:0043687),3/345,0.453595301654979,0.507138700986612,0,0,1.21401020281199,0.959735625646074,BMP4;GOLM1;PRSS23,GO_BP,pink,3
negative regulation of apoptotic process (GO:0043066),4/485,0.463311003425715,0.513333582376306,0,0,1.15087615087615,0.885434319820875,COMP;BMP4;ARF4;TXNDC5,GO_BP,pink,4
organelle assembly (GO:0070925),3/425,0.593449009826311,0.63138638944991,0,0,0.979832610668549,0.511280558905439,ARF4;EHD3;ARMC9,GO_BP,pink,3
regulation of intracellular signal transduction (GO:1902531),3/437,0.612367663287417,0.647963967057076,0,0,0.952152171781547,0.466956772147185,LBH;TRAF5;PRKAG3,GO_BP,pink,3
negative regulation of nucleic acid-templated transcription (GO:1903507),3/464,0.652760364522882,0.680810944197993,0,0,0.89514007476808,0.381817696210281,BMP4;LBH;NRG1,GO_BP,pink,3
cytokine-mediated signaling pathway (GO:0019221),4/621,0.657673792020374,0.68460524064904,0,0,0.890900671451725,0.373328565353557,TRIM5;TRAF5;IL13RA2;FGF2,GO_BP,pink,4
cellular response to cytokine stimulus (GO:0071345),3/482,0.677988996225208,0.700795235352868,0,0,0.860702705103718,0.334489918223083,PTGIS;IL13RA2;FGF2,GO_BP,pink,3
"negative regulation of transcription, DNA-templated (GO:0045892)",6/948,0.683293591453796,0.704457552251037,0,0,0.87298070709868,0.332457815409658,BMP4;LBH;NRG1;AEBP1;BMP6;ETV5,GO_BP,pink,6
negative regulation of transcription by RNA polymerase II (GO:0000122),4/684,0.730094588762733,0.74610543500753,0,0,0.805714285714286,0.25346255040934,BMP4;AEBP1;BMP6;ETV5,GO_BP,pink,4
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),3/547,0.757831686657418,0.771742932653752,0,0,0.75531914893617,0.209445443356692,BMP4;LBH;NRG1,GO_BP,pink,3
"regulation of transcription, DNA-templated (GO:0006355)",13/2244,0.833554278445268,0.841499769834261,0,0,0.783973913727798,0.142727513742043,NRG1;INHBA;MEOX2;FGF2;ETV5;GDF7;COL1A1;BMP4;EFEMP1;LBH;SALL3;ABL1;TASP1,GO_BP,pink,13
regulation of transcription by RNA polymerase II (GO:0006357),11/2206,0.930976378757941,0.935795928604833,0,0,0.665459777005155,0.0475945975467831,BMP4;ARF4;SALL3;ABL1;AEBP1;INHBA;MEOX2;FGF2;BMP6;ETV5;SLC9A1,GO_BP,pink,11
Fibroblasts,21/232,2.30177386583796e-17,2.53195125242176e-15,0,0,15.8958501907294,608.974257197233,ITIH5;PDGFRA;COL15A1;SCARA5;LAMA4;BGN;LTBP2;FMO2;THBS2;FGF2;ASPN;COL1A1;ADAMTS5;COL3A1;EFEMP1;LOX;FAP;FRZB;ITGBL1;SVEP1;CTHRC1,PanglaoDB,pink,21
Peritubular Myoid Cells,16/120,3.6519906578899e-16,1.4060434652013e-14,0,0,23.7403846153846,843.877826409218,PDGFRA;COL15A1;FAM114A1;CPXM2;LAMA4;BGN;THBS2;ASPN;COL1A1;ADAMTS5;SMOC2;COL3A1;EFEMP1;FRZB;SVEP1;MATN2,PanglaoDB,pink,16
Leydig Cells,17/145,3.83466399600355e-16,1.4060434652013e-14,0,0,20.630905511811,732.341022840329,PDGFRA;FAM114A1;CPXM2;BGN;PRICKLE2;FMO2;INHBA;THBS2;COL1A1;ANO1;SMOC2;COL3A1;EFEMP1;FRZB;CPE;SVEP1;MATN2,PanglaoDB,pink,17
Juxtaglomerular Cells,15/103,8.1827502093914e-16,2.25025630758264e-14,0,0,26.1205073995772,907.409009446718,PDGFRA;COL15A1;FAM114A1;CPXM2;SLC2A10;BGN;THBS2;ASPN;COL1A1;ANO1;SMOC2;COL3A1;FRZB;SVEP1;MATN2,PanglaoDB,pink,15
Chondrocytes,16/146,8.72652533163135e-15,1.9198355729589e-13,0,0,18.9673076923077,614.017444501196,CHODL;PDGFRA;COL15A1;LAMA4;BGN;LTBP2;AEBP1;THBS2;HAPLN1;COMP;COL1A1;ADAMTS5;ACAN;COL3A1;FAP;FRZB,PanglaoDB,pink,16
Endothelial Cells (Aorta),17/185,2.3548329872538e-14,4.3171938099653e-13,0,0,15.686914135733,492.250996700405,PTGIS;FAM114A1;PCOLCE2;LAMA4;BGN;MICAL2;LTBP2;GNG12;BMP6;COL1A1;BMP4;EHD3;COL3A1;EFEMP1;LOX;ITGBL1;SVEP1,PanglaoDB,pink,17
Stromal Cells,14/124,2.926432315528e-13,4.59867935297258e-12,0,0,19.3317482517483,557.910816733702,PDGFRA;COL15A1;CFH;LAMA4;BGN;LTBP2;AEBP1;THBS2;BMP4;COL1A1;ADAMTS5;COL3A1;FAP;SVEP1,PanglaoDB,pink,14
Vascular Smooth Muscle Cells,13/103,4.95756056233746e-13,6.816645773214e-12,0,0,21.7945716709075,617.498895387405,PDGFRA;COL15A1;ECM2;SEMA3D;LAMA4;BGN;THBS2;ASPN;COL1A1;ADAMTS5;COL3A1;FAP;SVEP1,PanglaoDB,pink,13
Adipocytes,16/210,2.59311448222309e-12,3.16936214493933e-11,0,0,12.6688144329897,337.980676948249,PDGFRA;COL15A1;ECM2;CFH;FAM114A1;BGN;LTBP2;FMO2;THBS2;ASPN;COL1A1;ADAMTS5;COL3A1;LOX;FAP;SVEP1,PanglaoDB,pink,16
Mesangial Cells,14/148,3.41922299806061e-12,3.76114529786667e-11,0,0,15.8500574052813,418.466998971544,PDGFRA;COL15A1;FAM114A1;LAMA4;BGN;LTBP2;PTN;THBS2;COL1A1;ADAMTS5;COL3A1;EFEMP1;FAP;SVEP1,PanglaoDB,pink,14
Pulmonary Vascular Smooth Muscle Cells,12/99,6.59835663266497e-12,6.59835663266497e-11,0,0,20.6572622779519,531.804701719075,COL1A1;PDGFRA;ADAMTS5;COL15A1;COL3A1;FAP;LAMA4;BGN;SVEP1;AEBP1;PTN;THBS2,PanglaoDB,pink,12
Pancreatic Stellate Cells,12/111,2.61584835160924e-11,2.39786098897513e-10,0,0,18.1423324150597,442.071448351277,COL1A1;PDGFRA;ADAMTS5;COL15A1;COL3A1;LOX;FAP;LAMA4;BGN;LTBP2;INHBA;THBS2,PanglaoDB,pink,12
Pericytes,13/155,9.61733390089818e-11,8.13774406999077e-10,0,0,13.7771207397054,317.767484203569,PDGFRA;COL15A1;ECM2;LAMA4;BGN;THBS2;ASPN;COL1A1;ADAMTS5;COL3A1;FAP;FRZB;SVEP1,PanglaoDB,pink,13
Mesothelial Cells,12/144,5.61653426403579e-10,4.41299120745669e-09,0,0,13.5840220385675,289.341518685816,COL1A1;ANO1;COL3A1;EFEMP1;LOX;FAM114A1;BGN;PRICKLE2;SVEP1;FMO2;GNG12;MATN2,PanglaoDB,pink,12
Myofibroblasts,10/100,2.72190900463152e-09,1.99606660339645e-08,0,0,16.3897180762852,323.236911347086,COL1A1;PDGFRA;ADAMTS5;COL3A1;FAP;LAMA4;BGN;SVEP1;PTN;THBS2,PanglaoDB,pink,10
M?ller Cells,11/147,9.40091173854474e-09,6.46312682024951e-08,0,0,11.9924812030075,221.650544048604,COL1A1;PDGFRA;COL3A1;FRZB;BGN;PRICKLE2;CPE;PTN;SLC6A1;THBS2;DCLK1,PanglaoDB,pink,11
Osteoblasts,11/154,1.52953794519773e-08,9.8970102336324e-08,0,0,11.4013880855986,205.176131171574,COL1A1;PDGFRA;COL3A1;EFEMP1;LOX;FAM114A1;FAP;BGN;SVEP1;LTBP2;THBS2,PanglaoDB,pink,11
Smooth Muscle Cells,11/169,4.0099068214354e-08,2.3366208461447e-07,0,0,10.311125916056,175.618196847784,COL1A1;PDGFRA;ADAMTS5;COL15A1;COL3A1;LOX;PDGFD;LAMA4;BGN;SVEP1;THBS2,PanglaoDB,pink,11
Hepatic Stellate Cells,10/132,4.03598146152267e-08,2.3366208461447e-07,0,0,12.0712013701982,205.517408849146,COL1A1;PDGFRA;ADAMTS5;COL3A1;FAP;FRZB;LAMA4;BGN;SVEP1;THBS2,PanglaoDB,pink,10
Melanocytes,9/133,5.16182370425217e-07,2.83900303733869e-06,0,0,10.6086021505376,153.578672112173,COL1A1;LOX;FAM114A1;FAP;LAMA4;PRICKLE2;PTN;GNG12;THBS2,PanglaoDB,pink,9
Loop Of Henle Cells,9/147,1.19868838586493e-06,6.27884392595914e-06,0,0,9.5256038647343,129.874775129578,PDGFRA;ADAMTS5;ANO1;COL3A1;FAM114A1;FRZB;BGN;PRICKLE2;FMO2,PanglaoDB,pink,9
Endothelial Cells,11/246,1.72982210609259e-06,8.64911053046294e-06,0,0,6.90548712206047,91.6184950347216,PDGFRA;EHD3;COL15A1;COL3A1;LOX;CFH;SEMA3D;LAMA4;BGN;FMO2;MEOX2,PanglaoDB,pink,11
Meningeal Cells,8/115,1.83606772880723e-06,8.78119348559979e-06,0,0,10.8570643210555,143.398850227432,PDGFRA;COL3A1;FRZB;LAMA4;BGN;CPE;SVEP1;PTN,PanglaoDB,pink,8
Enterochromaffin Cells,7/109,1.39945618786833e-05,6.4141741943965e-05,0,0,9.89537712895377,110.599064138294,ITIH5;PDGFRA;FGF14;FRZB;LAMA4;BGN;MASP1,PanglaoDB,pink,7
Adipocyte Progenitor Cells,7/115,1.9853012722442e-05,8.73532559787446e-05,0,0,9.34279535009462,101.155891407309,COL1A1;COL3A1;EFEMP1;SCARA5;LOX;SVEP1;GNG12,PanglaoDB,pink,7
Schwann Cells,7/138,6.3994400762552e-05,0.00027074554168772,0,0,7.69348637655318,74.2938050371561,CPE;PTN;SLC6A1;CORO2B;DCLK1;MATN2;CTHRC1,PanglaoDB,pink,7
Airway Smooth Muscle Cells,6/99,8.11307636343069e-05,0.000330532740732361,0,0,9.2393641888733,87.0297136634445,COL1A1;PDGFRA;COL3A1;LOX;LAMA4;BGN,PanglaoDB,pink,6
Peri-islet Schwann Cells,6/114,0.000176793238558434,0.000670595042807854,0,0,7.95008051529791,68.6929064277404,FRZB;PRICKLE2;CPE;PTN;OLFML2A;DCLK1,PanglaoDB,pink,6
Radial Glia Cells,6/114,0.000176793238558434,0.000670595042807854,0,0,7.95008051529791,68.6929064277404,PDGFD;CPE;PTN;SLC6A1;CORO2B;DCLK1,PanglaoDB,pink,6
Myoepithelial Cells,6/115,0.000185432198984912,0.000679918062944677,0,0,7.87674511368169,67.6834627688987,COL1A1;ANO1;EFEMP1;FAM114A1;LTBP2;GNG12,PanglaoDB,pink,6
Tanycytes,6/121,0.000244514166562892,0.000867630913610261,0,0,7.46351606805293,62.0683707872495,FRZB;PRICKLE2;CPE;PTN;SLC16A2;DCLK1,PanglaoDB,pink,6
Oligodendrocyte Progenitor Cells,6/125,0.000291493679865437,0.00100200952453744,0,0,7.2111801242236,58.7025557979983,PDGFRA;PTN;SLC6A1;CORO2B;DCLK1;ETV5,PanglaoDB,pink,6
Mast Cells,8/235,0.000308082973716702,0.00102694324572234,0,0,5.08655091992744,41.1254835077406,EXT1;SGCE;PDGFRA;COL15A1;CFH;FMO2;DGKI;SLC6A4,PanglaoDB,pink,8
Glomus Cells,6/127,0.00031749653457138,0.00102719467067211,0,0,7.09126841537909,57.1204766511373,FRZB;BGN;PRICKLE2;CPE;PTN;DCLK1,PanglaoDB,pink,6
Pulmonary Alveolar Type I Cells,6/131,0.000374942084337709,0.00117838940791851,0,0,6.86295652173913,54.1400726701206,COL1A1;ANO1;EFEMP1;FAM114A1;OLFML2A;GNG12,PanglaoDB,pink,6
Osteocytes,5/98,0.000716280371535938,0.00218863446858203,0,0,7.64407828575849,55.3541257560093,COL1A1;PTN;SLC16A2;GNG12;CNN3,PanglaoDB,pink,5
Enteric Glia Cells,5/111,0.00125473586134517,0.00373029580399916,0,0,6.70218542147414,44.7761627536841,SMOC2;FRZB;PTN;SLC6A1;DCLK1,PanglaoDB,pink,5
Podocytes,6/184,0.00218412556935505,0.00618925559489928,0,0,4.80654616511969,29.4474960332757,MYO1D;EFEMP1;PRICKLE2;CPE;GNG12;CORO2B,PanglaoDB,pink,6
Myoblasts,5/126,0.00219437243819156,0.00618925559489928,0,0,5.86687674653666,35.916193259829,COL1A1;COL3A1;FAM114A1;BGN;GNG12,PanglaoDB,pink,5
